City|State|Zipcode|Latitude|Longitude
Adirondacks Region|NY|12960|44.0527|-73.5077
Adirondacks Region|NY|12961|44.0493|-73.5547
Adirondacks Region|NY|12962|44.6924|-73.5585
Adirondacks Region|NY|12964|44.1572|-73.6137
Adirondacks Region|NY|12965|44.7058|-74.7150
Adirondacks Region|NY|12966|44.8406|-74.4005
Adirondacks Region|NY|12967|44.7754|-74.6082
Adirondacks Region|NY|12969|44.6921|-74.1134
Adirondacks Region|NY|12970|44.5142|-74.3049
Adirondacks Region|NY|12972|44.5798|-73.5266
Adirondacks Region|NY|12973|44.2317|-74.5657
Adirondacks Region|NY|12974|44.0458|-73.4624
Adirondacks Region|NY|12978|44.6094|-73.8017
Adirondacks Region|NY|12979|44.9894|-73.3664
Adirondacks Region|NY|12980|44.6700|-74.6610
Adirondacks Region|NY|12981|44.6568|-73.7369
Adirondacks Region|NY|12983|44.3291|-74.1222
Adirondacks Region|NY|12985|44.6171|-73.6072
Adirondacks Region|NY|12986|44.1363|-74.5527
Adirondacks Region|NY|12987|44.3363|-73.7755
Adirondacks Region|NY|12989|44.4537|-74.0647
Adirondacks Region|NY|12992|44.8209|-73.5069
Adirondacks Region|NY|12993|44.1872|-73.4377
Adirondacks Region|NY|12996|44.4094|-73.3773
Adirondacks Region|NY|12997|44.3894|-73.8225
Adirondacks Region|NY|12804|43.3756|-73.6039
Adirondacks Region|NY|12808|43.7398|-73.7844
Adirondacks Region|NY|12842|43.7785|-74.2587
Adirondacks Region|NY|12843|43.5314|-74.0171
Adirondacks Region|NY|12845|43.4259|-73.7169
Adirondacks Region|NY|12846|43.3183|-73.8353
Adirondacks Region|NY|12847|43.9380|-74.4605
Adirondacks Region|NY|12851|43.7845|-73.9789
Adirondacks Region|NY|12852|43.9558|-74.1106
Adirondacks Region|NY|12853|43.6931|-73.9871
Adirondacks Region|NY|12855|44.0068|-73.6995
Adirondacks Region|NY|12857|43.7749|-73.9344
Adirondacks Region|NY|12858|43.8858|-73.6650
Adirondacks Region|NY|12860|43.7364|-73.8353
Adirondacks Region|NY|12870|43.8421|-73.7601
Adirondacks Region|NY|12872|43.8815|-73.7211
Adirondacks Region|NY|12874|43.6730|-73.5101
Adirondacks Region|NY|12878|43.4246|-73.9278
Adirondacks Region|NY|12883|43.8466|-73.4257
Adirondacks Region|NY|12885|43.4925|-73.7749
Adirondacks Region|NY|12886|43.6356|-73.9335
Adirondacks Region|NY|13331|43.7726|-74.8205
Adirondacks Region|NY|13324|43.3182|-75.0855
Adirondacks Region|NY|13360|43.7512|-74.7967
Adirondacks Region|NY|13353|43.3819|-74.6682
Adirondacks Region|NY|13420|43.7417|-74.8915
Adirondacks Region|NY|13436|43.8041|-74.6223
Adirondacks Region|NY|13613|44.8046|-74.7725
Adirondacks Region|NY|13614|44.5318|-75.6657
Adirondacks Region|NY|13617|44.5986|-75.1706
Adirondacks Region|NY|13621|44.8378|-75.0901
Adirondacks Region|NY|13625|44.5525|-74.9386
Adirondacks Region|NY|13630|44.5070|-75.2721
Adirondacks Region|NY|13633|44.4852|-75.4864
Adirondacks Region|NY|13694|44.8499|-75.1638
Adirondacks Region|NY|13695|44.1369|-74.9194
Adirondacks Region|NY|13696|44.7131|-74.8995
Adirondacks Region|NY|13697|44.7952|-74.7878
Adirondacks Region|NY|13635|44.3258|-75.2517
Adirondacks Region|NY|13642|44.3348|-75.4694
Adirondacks Region|NY|13646|44.4339|-75.6267
Adirondacks Region|NY|13648|44.1654|-75.3284
Adirondacks Region|NY|13652|44.4671|-75.2321
Adirondacks Region|NY|13654|44.6190|-75.4055
Adirondacks Region|NY|13655|44.9744|-74.6635
Adirondacks Region|NY|13639|44.2455|-75.1315
Adirondacks Region|NY|13658|44.6834|-75.2637
Adirondacks Region|NY|13666|44.2091|-74.9898
Adirondacks Region|NY|13667|44.8023|-74.9911
Adirondacks Region|NY|13668|44.7487|-74.9976
Adirondacks Region|NY|13669|44.6964|-75.4880
Adirondacks Region|NY|13670|44.1918|-75.0695
Adirondacks Region|NY|13672|44.6242|-74.8148
Adirondacks Region|NY|13660|44.7468|-75.1291
Adirondacks Region|NY|13662|44.9345|-74.8903
Adirondacks Region|NY|13676|44.6728|-74.9832
Adirondacks Region|NY|13680|44.5941|-75.3191
Adirondacks Region|NY|13681|44.4181|-75.3935
Adirondacks Region|NY|13687|44.5093|-74.8884
